Curs,Estudi,Codi àrea territorial,Àrea territorial,Codi comarca,Comarca,Codi municipi,Municipi,Codi districte,Districte,Naturalesa,Titularitat,Nivell,Sexe,Concert,Resultat de l'avaluació,Alumnes avaluats
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PÚBLIC,DEPARTAMENT D'EDUCACIÓ,4,DONA,,PROMOCIONEN AMB PENDENTS,63
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PÚBLIC,DEPARTAMENT D'EDUCACIÓ,4,DONA,,PROMOCIONEN SENSE PENDENTS,102
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PÚBLIC,DEPARTAMENT D'EDUCACIÓ,4,HOME,,NO PROMOCIONEN,38
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PÚBLIC,DEPARTAMENT D'EDUCACIÓ,4,HOME,,PROMOCIONEN AMB PENDENTS,68
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PÚBLIC,DEPARTAMENT D'EDUCACIÓ,4,HOME,,PROMOCIONEN SENSE PENDENTS,85
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801902,EIXAMPLE,PRIVAT,ALTRES CONFESIONS RELIGIOSES,1,DONA,SI,PROMOCIONEN AMB PENDENTS,8
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801902,EIXAMPLE,PRIVAT,ALTRES CONFESIONS RELIGIOSES,1,DONA,SI,PROMOCIONEN SENSE PENDENTS,8
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801902,EIXAMPLE,PRIVAT,ALTRES CONFESIONS RELIGIOSES,1,HOME,SI,PROMOCIONEN AMB PENDENTS,5
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801902,EIXAMPLE,PRIVAT,ALTRES CONFESIONS RELIGIOSES,1,HOME,SI,PROMOCIONEN SENSE PENDENTS,8
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801902,EIXAMPLE,PRIVAT,ALTRES CONFESIONS RELIGIOSES,2,DONA,SI,NO PROMOCIONEN,1
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801902,EIXAMPLE,PRIVAT,ALTRES CONFESIONS RELIGIOSES,2,DONA,SI,PROMOCIONEN AMB PENDENTS,4
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801902,EIXAMPLE,PRIVAT,ALTRES CONFESIONS RELIGIOSES,2,DONA,SI,PROMOCIONEN SENSE PENDENTS,9
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801902,EIXAMPLE,PRIVAT,ALTRES CONFESIONS RELIGIOSES,2,HOME,SI,PROMOCIONEN AMB PENDENTS,8
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801902,EIXAMPLE,PRIVAT,ALTRES CONFESIONS RELIGIOSES,2,HOME,SI,PROMOCIONEN SENSE PENDENTS,7
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801902,EIXAMPLE,PRIVAT,ALTRES CONFESIONS RELIGIOSES,3,DONA,SI,PROMOCIONEN AMB PENDENTS,4
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801902,EIXAMPLE,PRIVAT,ALTRES CONFESIONS RELIGIOSES,3,DONA,SI,PROMOCIONEN SENSE PENDENTS,15
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801902,EIXAMPLE,PRIVAT,ALTRES CONFESIONS RELIGIOSES,3,HOME,SI,PROMOCIONEN AMB PENDENTS,4
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801902,EIXAMPLE,PRIVAT,ALTRES CONFESIONS RELIGIOSES,3,HOME,SI,PROMOCIONEN SENSE PENDENTS,7
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801902,EIXAMPLE,PRIVAT,ALTRES CONFESIONS RELIGIOSES,4,DONA,SI,NO PROMOCIONEN,1
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801902,EIXAMPLE,PRIVAT,ALTRES CONFESIONS RELIGIOSES,4,DONA,SI,PROMOCIONEN SENSE PENDENTS,12
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801902,EIXAMPLE,PRIVAT,ALTRES CONFESIONS RELIGIOSES,4,HOME,SI,NO PROMOCIONEN,1
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801902,EIXAMPLE,PRIVAT,ALTRES CONFESIONS RELIGIOSES,4,HOME,SI,PROMOCIONEN SENSE PENDENTS,18
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801902,EIXAMPLE,PRIVAT,ESGLÉSIA CATÒLICA,1,DONA,SI,NO PROMOCIONEN,1
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801902,EIXAMPLE,PRIVAT,ESGLÉSIA CATÒLICA,1,DONA,SI,PROMOCIONEN AMB PENDENTS,4
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801902,EIXAMPLE,PRIVAT,ESGLÉSIA CATÒLICA,1,DONA,SI,PROMOCIONEN SENSE PENDENTS,12
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801902,EIXAMPLE,PRIVAT,ESGLÉSIA CATÒLICA,1,HOME,SI,NO PROMOCIONEN,2
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801902,EIXAMPLE,PRIVAT,ESGLÉSIA CATÒLICA,1,HOME,SI,PROMOCIONEN AMB PENDENTS,4
