Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
1.,Alumnes del curs origen 2019-2020 segons els ensenyaments de destinació 2020-2021,,,,,,,,,,,,,
,"Catalunya, 2020-2021",,,,,,,,,,,,,nombre d'alumnes
Alumnes ensenyaments ,,,,,,,Ensenyaments destinació 2020-2021,,,,,,,
origen 2019-2020,,Alumnes,3r ESO,4t ESO,1r BATX,2n BATX,1r CFPM,2n CFPM,1r CFPS,2n CFPS,1r CFAM,2n CFAM,1r CFAS,2n CFAS
1r BATX,,16.50325848110696,0,0,4.016032538946038,95.74665635017134,9.191188834706574,0.2926057730328193,0.13812154696132595,0.0030526894193784724,13.323353293413174,1.4925373134328357,0.28116213683223995,0
2n BATX,,3.441994935428421,0,0,0.001974450609118013,4.118492317895435,1.2241466285522113,0.07908264136022143,32.56549634646231,0.10684412967824654,1.0479041916167664,0,44.236176194939084,0.05230125523012552
1r CFPM,,10.016369296803715,0,0,0.458072541315379,0.08621642533436498,22.750966874054146,75.93910636615263,13.16164676528248,0.26253129006654863,4.191616766467066,0,0.09372071227741331,0
2n CFPM,,5.427498368196404,0,0,0.06910577131913045,0.013264065436056151,2.515554060871027,23.455911427441674,39.850294065229015,0.549484095488125,0.8982035928143712,0.1492537313432836,2.7179006560449857,0.05230125523012552
1r CFPS,,9.4531834694024,0,0,0.011846703654708078,0.006632032718028076,0.3396670590213553,0.10280743376828785,9.338798788094813,77.58715428292325,0,0.1492537313432836,1.1246485473289598,0.05230125523012552
2n CFPS,,2.821396960573575,0,0,0.003948901218236026,0.0022106775726760254,0.41701698335295107,0.12257809410834322,4.6070219212261625,21.472617375908175,0.14970059880239522,0,2.436738519212746,0.15690376569037656
1r CFAM,,0.2255477221388759,0,0,0.011846703654708078,0.026528130872112303,0.06726080376660501,0,0,0,14.221556886227546,78.05970149253731,0.37488284910965325,0
2n CFAM,,0.1404547178773909,0,0,0.005923351827354039,0,0.033630401883302505,0.0039541320680110716,0.08019960791302798,0,1.347305389221557,19.25373134328358,20.805998125585752,0.9937238493723849
1r CFAS,,0.4866362974632716,0,0,0,0,0.0201782411299815,0.0039541320680110716,0.08911067545891997,0.006105378838756945,0.29940119760479045,0.7462686567164178,20.89971883786317,60.930962343096226
2n CFAS,,0.2887694321323487,0,0,0,0,0.013452160753321,0,0.16931028337194798,0.01221075767751389,0.14970059880239522,0.1492537313432836,7.029053420805999,37.761506276150634
Total,,100,100,100,100,100,100,100,100,100,100,100,100,100
