"Codi municipi","Municipi","Codi Districte BCN","Nom Districte BCN","Codi Àrea Territorial","Àrea Territorial","Codi comarca","Comarca","Disp Canvi Cicle Lliurats","Disp Alta Complexitat Lliurats","Disp Altres Lliurats","Mifi Canvi Cicle Lliurats","Mifi Alta Complexitat Lliurats","Mifi Altres Lliurats","Disp total lliurats","Mifi total lliurats"
"170031","Beuda",,,"0117","Girona","02","Alt Empordà","0","0","0","0","0","0","0","0"
"170078","Amer",,,"0117","Girona","34","Selva","0","0","15","0","0","1","15","1"
"170084","Anglès",,,"0117","Girona","34","Selva","2","0","16","4","0","22","18","26"
"170097","Arbúcies",,,"0117","Girona","34","Selva","28","0","2","8","0","2","30","10"
"170101","Argelaguer",,,"0117","Girona","19","Garrotxa","0","0","1","0","0","1","1","1"
"170118","L'Armentera",,,"0117","Girona","02","Alt Empordà","0","0","4","0","0","2","4","2"
"170139","Begur",,,"0117","Girona","10","Baix Empordà","1","0","4","1","0","3","5","4"
"170157","Banyoles",,,"0117","Girona","28","Pla de l'Estany","45","0","115","24","0","59","160","83"
"170195","Besalú",,,"0117","Girona","19","Garrotxa","0","0","2","0","0","2","2","2"
"170209","Bescanó",,,"0117","Girona","20","Gironès","2","0","4","2","0","3","6","5"
"170221","La Bisbal d'Empordà",,,"0117","Girona","10","Baix Empordà","22","7","26","14","4","17","55","35"
"170237","Blanes",,,"0117","Girona","34","Selva","96","4","110","34","3","64","210","101"
"170255","Bordils",,,"0117","Girona","20","Gironès","4","0","2","2","0","2","6","4"
"170307","Cabanes",,,"0117","Girona","02","Alt Empordà","0","0","1","0","0","0","1","0"
"170329","Cadaqués",,,"0117","Girona","02","Alt Empordà","14","0","0","8","0","0","14","8"
"170335","Caldes de Malavella",,,"0117","Girona","34","Selva","12","0","25","8","0","16","37","24"
"170340","Calonge",,,"0117","Girona","10","Baix Empordà","11","0","19","6","0","1","30","7"
"170366","Campdevànol",,,"0117","Girona","31","Ripollès","0","0","3","0","0","3","3","3"
"170391","Camprodon",,,"0117","Girona","31","Ripollès","2","0","4","0","0","3","6","3"
"170448","Cassà de la Selva",,,"0117","Girona","20","Gironès","17","0","40","15","0","19","57","34"
"170470","Castelló d'Empúries",,,"0117","Girona","02","Alt Empordà","31","0","50","16","0","16","81","32"
"170486","Castell-Platja d'Aro",,,"0117","Girona","10","Baix Empordà","24","0","26","17","0","18","50","35"
"170499","Celrà",,,"0117","Girona","20","Gironès","13","0","16","4","0","11","29","15"
"170545","Colera",,,"0117","Girona","02","Alt Empordà","0","0","3","0","0","0","3","0"
"170622","L'Escala",,,"0117","Girona","02","Alt Empordà","22","0","44","12","0","17","66","29"
"170643","Espolla",,,"0117","Girona","02","Alt Empordà","1","0","0","1","0","0","1","1"
"170669","Figueres",,,"0117","Girona","02","Alt Empordà","133","79","69","93","55","48","281","196"
"170675","Flaçà",,,"0117","Girona","20","Gironès","2","0","0","2","0","0","2","2"
"170715","Fontcoberta",,,"0117","Girona","28","Pla de l'Estany","1","0","0","1","0","0","1","1"
"170736","Fornells de la Selva",,,"0117","Girona","20","Gironès","1","0","3","1","0","1","4","2"
"170741","Fortià",,,"0117","Girona","02","Alt Empordà","0","0","9","0","0","0","9","0"
"170773","Garriguella",,,"0117","Girona","02","Alt Empordà","4","0","6","4","0","6","10","10"
"170789","Ger",,,"0117","Girona","15","Cerdanya","0","0","2","0","0","0","2","0"
"170792","Girona",,,"0117","Girona","20","Gironès","201","79","255","110","39","185","535","334"
"170834","Hostalric",,,"0117","Girona","34","Selva","17","0","19","13","0","14","36","27"
"170865","La Jonquera",,,"0117","Girona","02","Alt Empordà","9","0","9","4","0","3","18","7"
"170890","Llagostera",,,"0117","Girona","20","Gironès","40","0","68","24","0","42","108","66"
"170911","Llanars",,,"0117","Girona","31","Ripollès","1","0","1","1","0","1","2","2"
"170926","Llançà",,,"0117","Girona","02","Alt Empordà","3","0","0","3","0","0","3","3"
"170950","Lloret de Mar",,,"0117","Girona","34","Selva","99","54","98","62","17","85","251","164"
"171030","Maçanet de la Selva",,,"0117","Girona","34","Selva","6","25","0","3","10","0","31","13"
"171096","Montagut i Oix",,,"0117","Girona","19","Garrotxa","0","0","1","0","0","1","1","1"
"171100","Mont-ras",,,"0117","Girona","10","Baix Empordà","3","0","5","3","0","5","8","8"
"171117","Navata",,,"0117","Girona","02","Alt Empordà","0","0","0","0","0","0","0","0"
"171122","Ogassa",,,"0117","Girona","31","Ripollès","0","0","2","0","0","0","2","0"
"171143","Olot",,,"0117","Girona","19","Garrotxa","69","7","29","70","0","9","105","79"
"171175","Palafrugell",,,"0117","Girona","10","Baix Empordà","51","132","20","38","110","21","203","169"
"171181","Palamós",,,"0117","Girona","10","Baix Empordà","33","0","31","33","0","41","64","74"
"171208","Palau-saverdera",,,"0117","Girona","02","Alt Empordà","1","0","1","1","0","1","2","2"
"171328","Peralada",,,"0117","Girona","02","Alt Empordà","4","0","1","1","0","1","5","2"
"171334","Les Planes d'Hostoles",,,"0117","Girona","19","Garrotxa","2","0","0","2","0","0","2","2"
"171352","Pont de Molins",,,"0117","Girona","02","Alt Empordà","0","0","1","0","0","1","1","1"
"171371","Porqueres",,,"0117","Girona","28","Pla de l'Estany","2","0","7","2","0","7","9","9"
"171387","Portbou",,,"0117","Girona","02","Alt Empordà","1","0","4","1","0","4","5","5"
"171404","El Port de la Selva",,,"0117","Girona","02","Alt Empordà","1","0","2","1","0","2","3","3"
"171411","Puigcerdà",,,"0117","Girona","15","Cerdanya","17","0","33","19","0","10","50","29"
"171426","Quart",,,"0117","Girona","20","Gironès","1","0","2","1","0","2","3","3"
"171450","Ribes de Freser",,,"0117","Girona","31","Ripollès","3","0","6","3","0","3","9","6"
"171463","Riells i Viabrea",,,"0117","Girona","34","Selva","4","0","1","3","0","1","5","4"
"171479","Ripoll",,,"0117","Girona","31","Ripollès","5","0","15","7","0","8","20","15"
"171485","Riudarenes",,,"0117","Girona","34","Selva","0","0","10","0","0","9","10","9"
"171501","Riudellots de la Selva",,,"0117","Girona","34","Selva","0","0","2","0","0","2","2","2"
"171523","Roses",,,"0117","Girona","02","Alt Empordà","56","24","40","28","5","17","120","50"
"171557","Salt",,,"0117","Girona","20","Gironès","156","111","0","105","92","10","267","207"
"171582","Sant Climent Sescebes",,,"0117","Girona","02","Alt Empordà","1","0","3","1","0","3","4","4"
