SSTT;Comarca;Municipi;Districte codi;Naturalesa;Concert;Estudis codi;Nivell;Avaluats;Sexe;N Avaluats
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PÚBLIC;NO;ESO;3;HAN DE REPETIR;HOME;23
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PÚBLIC;NO;ESO;3;PROMO/GRADUA SENSE PENDENTS JUNY;DONA;100
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PÚBLIC;NO;ESO;3;PROMO/GRADUA SENSE PENDENTS JUNY;HOME;37
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PÚBLIC;NO;ESO;3;PROMO/GRADUA SENSE PENDENTS SETEMBRE;DONA;18
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PÚBLIC;NO;ESO;3;PROMO/GRADUA SENSE PENDENTS SETEMBRE;HOME;24
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PÚBLIC;NO;ESO;3;PROMOCIÓ AMB PENDENTS;DONA;52
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PÚBLIC;NO;ESO;3;PROMOCIÓ AMB PENDENTS;HOME;58
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PÚBLIC;NO;ESO;4;EXPEDICIÓ DEL CERTIFICAT;DONA;17
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PÚBLIC;NO;ESO;4;EXPEDICIÓ DEL CERTIFICAT;HOME;27
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PÚBLIC;NO;ESO;4;HAN DE REPETIR;DONA;7
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PÚBLIC;NO;ESO;4;HAN DE REPETIR;HOME;16
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PÚBLIC;NO;ESO;4;PROMO/GRADUA SENSE PENDENTS JUNY;DONA;110
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PÚBLIC;NO;ESO;4;PROMO/GRADUA SENSE PENDENTS JUNY;HOME;73
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PÚBLIC;NO;ESO;4;PROMO/GRADUA SENSE PENDENTS SETEMBRE;DONA;29
BAIX LLOBREGAT;BAIX LLOBREGAT;CASTELLDEFELS;0805600;PÚBLIC;NO;ESO;4;PROMO/GRADUA SENSE PENDENTS SETEMBRE;HOME;28
BAIX LLOBREGAT;BAIX LLOBREGAT;CERVELLÓ;0806800;PÚBLIC;NO;ESO;1;HAN DE REPETIR;DONA;1
BAIX LLOBREGAT;BAIX LLOBREGAT;CERVELLÓ;0806800;PÚBLIC;NO;ESO;1;HAN DE REPETIR;HOME;1
BAIX LLOBREGAT;BAIX LLOBREGAT;CERVELLÓ;0806800;PÚBLIC;NO;ESO;1;PROMO/GRADUA SENSE PENDENTS JUNY;DONA;24
BAIX LLOBREGAT;BAIX LLOBREGAT;CERVELLÓ;0806800;PÚBLIC;NO;ESO;1;PROMO/GRADUA SENSE PENDENTS JUNY;HOME;22
BAIX LLOBREGAT;BAIX LLOBREGAT;CERVELLÓ;0806800;PÚBLIC;NO;ESO;1;PROMO/GRADUA SENSE PENDENTS SETEMBRE;DONA;2
BAIX LLOBREGAT;BAIX LLOBREGAT;CERVELLÓ;0806800;PÚBLIC;NO;ESO;1;PROMO/GRADUA SENSE PENDENTS SETEMBRE;HOME;3
BAIX LLOBREGAT;BAIX LLOBREGAT;CERVELLÓ;0806800;PÚBLIC;NO;ESO;1;PROMOCIÓ AMB PENDENTS;DONA;1
BAIX LLOBREGAT;BAIX LLOBREGAT;CERVELLÓ;0806800;PÚBLIC;NO;ESO;1;PROMOCIÓ AMB PENDENTS;HOME;8
BAIX LLOBREGAT;BAIX LLOBREGAT;CERVELLÓ;0806800;PÚBLIC;NO;ESO;2;HAN DE REPETIR;DONA;1
BAIX LLOBREGAT;BAIX LLOBREGAT;CERVELLÓ;0806800;PÚBLIC;NO;ESO;2;HAN DE REPETIR;HOME;1
BAIX LLOBREGAT;BAIX LLOBREGAT;CERVELLÓ;0806800;PÚBLIC;NO;ESO;2;PROMO/GRADUA SENSE PENDENTS JUNY;DONA;23
BAIX LLOBREGAT;BAIX LLOBREGAT;CERVELLÓ;0806800;PÚBLIC;NO;ESO;2;PROMO/GRADUA SENSE PENDENTS JUNY;HOME;12
BAIX LLOBREGAT;BAIX LLOBREGAT;CERVELLÓ;0806800;PÚBLIC;NO;ESO;2;PROMO/GRADUA SENSE PENDENTS SETEMBRE;HOME;4
BAIX LLOBREGAT;BAIX LLOBREGAT;CERVELLÓ;0806800;PÚBLIC;NO;ESO;2;PROMOCIÓ AMB PENDENTS;DONA;2
