Comarca codi,Comarca,SSTT codi,SSTT,Municipi codi,Municipi,Districte codi,Naturalesa,Estudis,Nivell,Sexe,Promo/gradua sense pendents juny,'Avaluats',N Avaluats estudi
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PRIVAT,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,4,HOME,Promo/gradua sense pendents juny,Promo/gradua sense pendents juny,45
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PRIVAT,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,4,HOME,Promo/gradua sense pendents setembre,Promo/gradua sense pendents setembre,7
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PRIVAT,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,4,HOME,Repeteixen,Repeteixen,5
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,1,DONA,Promo/gradua amb pendents,Promo/gradua amb pendents,32
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,1,DONA,Promo/gradua sense pendents juny,Promo/gradua sense pendents juny,89
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,1,DONA,Promo/gradua sense pendents setembre,Promo/gradua sense pendents setembre,10
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,1,DONA,Repeteixen,Repeteixen,7
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,1,HOME,Promo/gradua amb pendents,Promo/gradua amb pendents,55
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,1,HOME,Promo/gradua sense pendents juny,Promo/gradua sense pendents juny,69
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,1,HOME,Promo/gradua sense pendents setembre,Promo/gradua sense pendents setembre,19
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,1,HOME,Repeteixen,Repeteixen,18
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,2,DONA,Promo/gradua amb pendents,Promo/gradua amb pendents,45
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,2,DONA,Promo/gradua sense pendents juny,Promo/gradua sense pendents juny,65
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,2,DONA,Promo/gradua sense pendents setembre,Promo/gradua sense pendents setembre,10
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,2,DONA,Repeteixen,Repeteixen,8
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,2,HOME,Promo/gradua amb pendents,Promo/gradua amb pendents,51
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,2,HOME,Promo/gradua sense pendents juny,Promo/gradua sense pendents juny,46
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,2,HOME,Promo/gradua sense pendents setembre,Promo/gradua sense pendents setembre,25
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,2,HOME,Repeteixen,Repeteixen,25
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,3,DONA,Promo/gradua amb pendents,Promo/gradua amb pendents,46
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,3,DONA,Promo/gradua sense pendents juny,Promo/gradua sense pendents juny,66
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,3,DONA,Promo/gradua sense pendents setembre,Promo/gradua sense pendents setembre,10
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,3,DONA,Repeteixen,Repeteixen,19
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,3,HOME,Promo/gradua amb pendents,Promo/gradua amb pendents,44
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,3,HOME,Promo/gradua sense pendents juny,Promo/gradua sense pendents juny,67
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,3,HOME,Promo/gradua sense pendents setembre,Promo/gradua sense pendents setembre,17
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,3,HOME,Repeteixen,Repeteixen,25
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,4,DONA,Promo/gradua sense pendents juny,Promo/gradua sense pendents juny,100
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,4,DONA,Promo/gradua sense pendents setembre,Promo/gradua sense pendents setembre,23
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,4,DONA,Repeteixen,Repeteixen,13
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,4,HOME,Certificats sense graduar (4rt ESO),Certificats sense graduar (4rt ESO),7
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,4,HOME,Promo/gradua sense pendents juny,Promo/gradua sense pendents juny,90
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,4,HOME,Promo/gradua sense pendents setembre,Promo/gradua sense pendents setembre,18
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,4,HOME,Repeteixen,Repeteixen,12
02,ALT EMPORDÀ,0117,GIRONA,17032,CADAQUÉS,1703200,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,1,DONA,Promo/gradua sense pendents juny,Promo/gradua sense pendents juny,11
02,ALT EMPORDÀ,0117,GIRONA,17032,CADAQUÉS,1703200,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,1,DONA,Promo/gradua sense pendents setembre,Promo/gradua sense pendents setembre,2
02,ALT EMPORDÀ,0117,GIRONA,17032,CADAQUÉS,1703200,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,1,HOME,Promo/gradua amb pendents,Promo/gradua amb pendents,2
02,ALT EMPORDÀ,0117,GIRONA,17032,CADAQUÉS,1703200,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,1,HOME,Promo/gradua sense pendents juny,Promo/gradua sense pendents juny,8
02,ALT EMPORDÀ,0117,GIRONA,17032,CADAQUÉS,1703200,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,1,HOME,Promo/gradua sense pendents setembre,Promo/gradua sense pendents setembre,5
02,ALT EMPORDÀ,0117,GIRONA,17032,CADAQUÉS,1703200,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,2,DONA,Promo/gradua amb pendents,Promo/gradua amb pendents,1
02,ALT EMPORDÀ,0117,GIRONA,17032,CADAQUÉS,1703200,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,2,DONA,Promo/gradua sense pendents juny,Promo/gradua sense pendents juny,9
