Unnamed: 0,Población ocupada (%),Trabajadores de baja calificación (%),Población con estudios bajos (%),Población joven sin estudios postobligatorios (%),Extranjeros de países de renta baja o media (%),Renta media por persona (€)
Calella 2 (Est),62.9,11.6,16.0,25.0,11.6,13313.0
Canet de Mar 1 (Centre),64.3,10.5,16.6,22.9,7.5,14473.0
Canet de Mar 2 (Exterior),67.4,8.8,13.9,21.6,5.7,14967.0
Canovelles 1 (Nucli Urbà Centre i Est),55.4,29.8,26.5,51.1,25.7,9893.0
Canovelles 2 (Nucli Urbà Oest i Exterior),71.0,13.2,14.7,24.1,4.8,16539.0
Cardedeu 1 (Nucli Urbà Centre i Exterior Nord),69.8,9.1,11.1,12.8,4.8,17523.0
Cardedeu 2 (Nucli Urbà Sud-est i Exterior Sud),74.6,9.0,10.0,15.3,4.4,15561.0
Castellar del Vallès 1 (Nucli Urbà Est i Exterior),72.1,8.2,8.7,17.9,3.3,16514.0
Castellar del Vallès 2 (Nucli Urbà Nord i Oest),73.7,10.4,13.9,18.3,5.3,14987.0
Castellar del Vallès 3 (Nucli Urbà Sud),73.8,8.4,9.1,13.3,2.2,17047.0
Castellbisbal 1 (Sud),72.9,10.5,11.1,14.5,6.3,16528.0
Castellbisbal 2 (Nord),73.2,10.2,12.5,21.6,4.6,15395.0
Castelldefels 1 (Centre),65.4,9.8,13.1,22.2,15.7,14686.0
Castelldefels 2 (Vista Alegre - el Castell),65.3,13.8,15.9,25.7,12.4,12486.0
Castelldefels 3 (els Canyars),73.0,5.4,6.9,12.1,6.4,18749.0
Castelldefels 4 (el Poble Vell),66.4,10.9,14.2,21.9,14.8,13283.0
Castelldefels 5 (les Botigues - Can Bou - Mar i Sol),66.3,4.5,7.0,10.5,9.3,20351.0
Castelldefels 6 (Baixador - Lluminetes - la Pineda),62.7,5.9,6.3,14.6,12.0,19582.0
Castelldefels 7 (el Poal - Bellamar),63.7,5.0,7.1,11.9,10.2,19741.0
Castelldefels 8 (Montmar),66.0,4.0,6.5,12.0,6.2,21904.0
Castelldefels 9 (Can Roca - la Muntanyeta),67.4,4.3,7.4,7.3,4.9,21967.0
Corbera de Llobregat 1 (Nucli Urbà),68.7,9.2,13.5,25.0,11.4,15553.0
Corbera de Llobregat 2 (Urbanitzacions),72.4,6.6,7.1,15.0,3.1,18213.0
Cornellà de Llobregat 1 (Centre),69.7,9.3,13.4,20.4,9.0,16523.0
Cornellà de Llobregat 2 (Fontsanta - Fatjó),74.1,9.1,11.2,17.1,3.4,16881.0
Cornellà de Llobregat 3 (el Pedró),68.9,9.3,15.5,22.4,10.4,15256.0
Cornellà de Llobregat 4 (Bonavista),67.7,13.4,21.4,24.2,11.5,14212.0
Cornellà de Llobregat 5 (Gavarra),67.8,13.9,18.2,25.5,14.9,13650.0
Cornellà de Llobregat 6 (Sant Ildefons Oest),60.5,22.1,23.0,37.4,26.9,10611.0
Cornellà de Llobregat 7 (Sant Ildefons Est),59.2,23.4,22.1,39.4,27.7,10477.0
Cornellà de Llobregat 8 (Sant Ildefons - Torre de la Miranda),61.0,19.6,22.0,32.2,21.1,11888.0
Cornellà de Llobregat 9 (Almeda),74.2,7.4,8.6,15.1,5.9,16391.0
Cornellà de Llobregat 10 (Riera - Camp de les Aigües),71.6,12.0,14.0,23.3,9.8,14863.0
Cubelles 1 (Oest i Nord),61.7,11.6,12.7,28.9,8.7,14410.0
Cubelles 2 (Est i Sud),67.4,9.0,11.2,25.3,6.3,15769.0
Esparreguera 1 (Est),68.7,12.1,14.8,27.3,8.7,14971.0
Esparreguera 2 (Oest),71.0,11.7,12.4,27.3,4.8,15337.0
Esplugues de Llobregat 1 (Nucli Antic i Barris de Collserola),63.9,3.6,7.3,8.1,5.6,27558.0
Esplugues de Llobregat 2 (Can Vidalet),62.8,20.4,21.3,28.6,19.6,11437.0
Esplugues de Llobregat 3 (Can Clota - Can Cervera),67.9,12.5,19.4,18.3,9.5,14905.0
Esplugues de Llobregat 4 (la Plana),70.1,8.5,13.9,14.3,8.2,16264.0
Esplugues de Llobregat 5 (el Gall - Montesa),70.9,7.9,14.4,13.0,8.5,16545.0
Esplugues de Llobregat 6 (Centre Sud),70.3,8.0,14.5,14.2,7.4,17082.0
"Franqueses del Vallès 1 (Bellavista Nord - Corró d'Avall - Corró d'Amunt - Llerona - Marata), les",74.8,10.0,10.7,19.8,3.9,16197.0
"Franqueses del Vallès 2 (Bellavista Sud), les",60.2,26.9,21.4,43.6,21.8,10972.0
"Garriga 1 (Centre i Sud), la",72.5,9.4,10.4,16.5,5.3,17778.0
"Garriga 2 (Nord), la",74.1,12.0,11.5,18.0,5.9,16708.0
Gavà 1 (Centre),68.6,9.9,13.6,17.7,5.6,17007.0
Gavà 2 (Nucli Antic - Carretera de Santa Creu),68.6,10.9,14.5,19.3,9.6,15335.0
Gavà 3 (Gavà Mar),63.5,3.5,4.1,10.9,11.3,23483.0
Gavà 4 (les Panes),68.9,11.8,15.6,23.0,10.0,14484.0
Gavà 5 (la Sentiu - Ca n'Espinós - Eramprunyà),68.6,10.8,11.8,25.9,4.5,13728.0
Gavà 6 (Eixample - la Bòbila),69.3,10.7,12.5,18.2,5.9,15175.0
Gavà 7 (Can Tintorer - Can Tries),68.0,14.0,15.2,29.5,7.3,13373.0
Granollers 1 (Can Bassa - Palou),68.9,15.8,12.3,26.5,8.7,14353.0
Granollers 2 (Sant Miquel - Tres Torres),67.1,16.1,13.4,22.9,13.2,15076.0
Granollers 3 (Instituts - Sota el Camí Ral),66.7,15.1,13.9,23.3,13.3,15926.0
Granollers 4 (Centre - Joan Prim),68.8,12.0,10.7,19.9,9.3,18851.0
Granollers 5 (Lledoner - l'Hostal - Can Monic - Ponent),66.9,17.1,13.3,27.1,12.9,13824.0
Granollers 6 (Congost - Can Gili),60.7,27.9,21.8,38.2,19.6,11698.0
